S.no,tld,LE,BL,DP,LP,CCP,IPP,ACR,WBY,TLDs Reg,TLDs Reg32,TLDs Free32,SG,CO,CPC,SDE,Traffic,Valuation,Bids
1106,com,11,317,0,0,0,0,25,2013,1,1,31,0,0,0,0,2,888,1
1107,com,24,24,0,0,0,0,13,2016,1,1,31,0,0,0,0,493,0,2
1108,com,16,27,2,2,2,2,47,2009,2,3,29,880,14,1.24,10,9,1365,1
1109,com,11,0,0,0,0,0,11,2010,1,1,31,0,0,0,0,2,1449,1
1110,org,14,3725,147,673,127,132,83,2009,5,5,27,9900,0,0,210,0,573,2
1111,com,5,39,0,0,0,0,18,2017,2,1,31,0,0,0,0,2050,1127,1
1112,com,21,29,1,1,1,1,16,2014,1,1,31,0,0,0,0,67,386,1
1113,com,18,0,0,0,0,0,1,2017,1,1,31,0,0,0,0,4,486,1
1114,com,10,0,0,0,0,0,6,2017,1,1,31,0,0,0,0,154,909,1
1115,com,24,768,41,95,33,36,133,2002,1,1,31,320,6,0.66,10,0,930,1
1116,com,3,12,3,6,2,3,43,2000,36,20,12,390,1,0.86,10,0,0,21
1117,com,13,35,4,11,4,5,20,2014,2,2,30,0,0,0,0,7,1118,1
1118,net,15,110,1,1,1,1,25,2012,1,1,31,0,0,0,0,0,88,1
1119,com,8,0,0,0,0,0,1,2017,2,1,31,0,0,0,0,0,1782,1
1120,com,18,22,4,5,4,4,31,2016,2,2,30,720,79,8.3,10,2,783,1
1121,com,12,0,0,0,0,0,1,2017,1,1,31,0,0,0,0,5,1465,1
1122,com,12,7,0,0,0,0,63,2008,3,1,31,0,0,0,0,0,1313,1
1123,com,9,2260,73,212,74,82,117,2001,1,1,31,0,0,0,0,0,1095,1
1124,com,7,44,3,3,3,3,130,1999,4,3,29,0,0,0,0,22,1519,1
1125,com,9,78,1,2,1,1,30,2017,1,1,31,0,0,0,0,0,912,1
1126,com,23,4670,35,252,35,38,116,2005,7,3,29,880,13,7.45,10,0,3001,1
1127,net,12,10769,18,535,18,19,130,2007,4,4,28,550000,13,1.19,1300,59,250,7
1128,com,10,75,4,5,4,4,56,2005,8,7,25,20,38,3.08,0,0,3177,1
1129,com,13,0,0,0,0,0,11,2007,7,3,29,450000,3,0.27,12100,4,1111,1
1130,com,14,3,0,0,0,0,10,2012,1,1,31,0,0,0,0,2,0,1
1131,com,12,0,0,0,0,0,1,2017,3,3,29,0,0,0,0,6,1470,1
1132,com,5,3,0,0,0,0,42,2007,6,6,26,0,0,0,0,0,2121,1
1133,com,13,51,3,3,3,3,71,2003,2,1,31,20,40,1.16,0,7,1224,1
1134,com,16,1,0,0,0,0,43,2009,8,8,24,1000,0,0.02,10,2,2494,1
1135,com,10,46776,42,1691,41,1,25,2014,18,10,22,480,6,2.87,20,0,0,4
1136,org,24,716,37,131,29,31,133,2012,1,1,31,20,6,0.49,0,0,196,1
1137,com,23,396,26,124,21,22,92,2010,1,1,31,0,0,0,0,0,577,1
1138,com,9,2235,55,84,44,47,281,2005,2,2,30,0,0,0,0,0,1431,6
1139,com,5,226,2,3,2,2,353,2012,7,3,29,0,0,0,0,0,1376,2
1140,com,9,36,1,1,1,1,22,2015,6,5,27,0,0,0,0,70,1476,2
1141,com,5,24,2,2,2,2,25,2016,3,3,29,0,0,0,0,7,1059,3
1142,com,7,12558,0,0,0,0,5,2016,3,1,31,0,0,0,0,10,1071,2
1143,com,6,2,0,0,0,0,61,2001,43,21,11,0,0,0,0,4,4536,4
1144,com,10,39,1,1,1,1,39,2008,11,10,22,260,37,0.85,10,0,0,4
1145,com,12,0,0,0,0,0,20,2008,3,3,29,1600,7,0.48,10,0,0,1
1146,com,14,0,0,0,0,0,7,2010,2,1,31,9900,100,1.01,10,0,0,2
1147,com,12,147,2,22,2,2,12,2015,1,1,31,0,0,0,0,0,853,1
1148,com,10,0,0,0,0,0,9,2011,2,2,30,10,2,0,0,7,2519,1
1149,com,10,0,0,0,0,0,8,2016,3,3,29,320,0,0,10,4,1493,1
1150,com,5,0,0,0,0,0,9,2011,2,1,31,720,0,0.23,20,0,0,1
1151,com,10,0,0,0,0,0,1,2018,2,2,30,50,5,0,0,4,0,1
1152,com,22,2078,48,175,52,55,157,2004,1,1,31,0,0,0,0,39,134,1
1153,com,8,10,0,0,0,0,62,2011,1,1,31,0,0,0,0,39,694,1
1154,com,5,6700,65,137,54,55,121,1998,12,7,25,1000,1,0.06,30,0,3055,1
1155,com,12,91494,223,1168,181,191,481,2004,3,2,30,210,3,0,10,0,1747,53
1156,com,10,0,0,0,0,0,16,2002,1,1,31,0,0,0,0,2,615,1
1157,com,10,1,0,0,0,0,16,2013,2,2,30,0,0,0,0,58,1278,3
1158,com,12,0,0,0,0,0,14,2005,2,2,30,140,18,0.38,10,30,2109,7
1159,net,7,0,0,0,0,0,84,2008,18,6,26,0,0,0,0,0,813,1
1160,com,12,0,0,0,0,0,1,2017,3,3,29,0,0,0,0,8,1175,1
1161,com,10,22117,99,2360,82,85,122,2003,2,2,30,110000,24,28.11,880,11,1431,1
1162,com,6,0,0,0,0,0,12,2013,2,2,30,0,0,0,0,0,1686,1
1163,com,19,14,1,7,1,1,6,1997,4,4,28,9900,20,0.59,70,0,2034,5
1164,com,18,3,0,0,0,0,5,2014,1,1,31,0,0,0,0,9,389,1
1165,com,17,1057,8,20,9,9,7,2015,1,1,31,20,100,0.07,0,67,879,1
1166,com,6,0,9,890,3,8,8,2016,1,1,31,0,0,0,0,4,625,1
1167,com,19,0,0,0,0,0,8,2012,2,2,30,10,0,0,0,0,608,1
1168,com,18,22,2,4,2,2,33,2009,1,1,31,10,20,0,0,161,913,2
1169,com,13,297,22,294,21,21,167,2005,1,1,31,170,7,0.24,10,35,1638,3
1170,com,9,17,0,0,0,0,7,2016,1,1,31,0,0,0,0,52,1129,1
1171,com,19,3,0,0,0,0,16,2017,1,1,31,10,10,0,0,24,815,1
1172,com,8,0,0,0,0,0,1,2017,2,2,30,0,0,0,0,0,1699,1
1173,com,6,2087,40,326,11,19,32767,2013,6,3,29,0,0,0,0,13,1321,1
1174,com,12,0,0,0,0,0,1,2015,1,2,30,0,0,0,0,13,1109,1
1175,org,5,4096,22,2319,19,22,123,2011,2,1,31,0,0,0,0,0,679,3
1176,com,5,22,3,10,3,3,13,2016,2,2,30,0,0,0,0,67,1250,1
1177,com,6,36,0,0,0,0,7,2015,5,3,29,0,0,0,0,9,1086,1
1178,org,8,0,0,0,0,0,31,2011,14,10,22,246000,0,0.06,1600,30,669,1
1179,com,10,0,0,0,0,0,1,2017,1,1,31,0,0,0,0,0,533,1
1180,com,9,103,19,26,18,19,54,2012,1,1,31,40,0,0,0,0,0,6
